ts_iso,session_id,request_id,task_code,step,outcome,ms,http_status,js_mode
2025-12-01T09:12:44.265314399Z,ceb592,r_9c756cbf,T0_list,success,,74,200,off
2025-12-01T09:48:55.327390577Z,ceb592,r_d0ea0956,T3_add,success,,28,200,on
2025-12-01T09:48:57.779275053Z,ceb592,r_85e3e884,T4_delete,success,,6,200,on
2025-12-01T09:49:03.396511510Z,ceb592,r_78db79f7,T3_add,success,,13,200,on
2025-12-01T09:49:06.544497790Z,ceb592,r_3c73563e,T4_delete,success,,6,200,on
2025-12-01T09:50:13.872892629Z,ceb592,r_642c24f7,T0_list,success,,16,200,off
2025-12-01T09:52:08.832781739Z,ceb592,r_daaf337d,T0_list,success,,16,200,off
2025-12-01T09:52:10.011968551Z,ceb592,r_7b347df5,T0_list,success,,11,200,off
2025-12-01T09:52:16.431089540Z,ceb592,r_ae5d1e77,T0_list,success,,10,200,off
2025-12-01T09:53:18.168984784Z,ceb592,r_86d1af82,T3_add,success,,15,200,on
2025-12-01T09:53:35.910926354Z,ceb592,r_2419dde7,T3_add,success,,14,200,on
2025-12-01T09:53:39.696158983Z,ceb592,r_96095353,T4_delete,success,,12,200,on
2025-12-01T09:53:44.862451888Z,ceb592,r_b48780a3,T3_add,success,,14,200,on
2025-12-01T09:53:51.511014742Z,ceb592,r_c679ac2e,T3_add,success,,14,200,on
2025-12-01T09:53:58.432821465Z,ceb592,r_d69357ea,T3_add,success,,15,200,on
2025-12-01T09:54:02.992417692Z,ceb592,r_9e7c6c30,T3_add,success,,16,200,on
2025-12-01T09:54:09.737817590Z,ceb592,r_2225418e,T3_add,success,,17,200,on
2025-12-01T09:54:13.379848424Z,ceb592,r_115b1b46,T3_add,success,,20,200,on
2025-12-01T09:54:16.751838672Z,ceb592,r_9e28c40c,T3_add,success,,24,200,on
2025-12-01T09:54:21.392231875Z,ceb592,r_9ac47dc3,T3_add,success,,24,200,on
2025-12-01T09:54:25.285170961Z,ceb592,r_77b643f6,T3_add,success,,21,200,on
2025-12-01T09:54:29.040973018Z,ceb592,r_5832f937,T3_add,success,,23,200,on
2025-12-01T09:54:34.532811460Z,ceb592,r_7b2dc186,T3_add,success,,20,200,on
2025-12-01T09:54:38.429363465Z,ceb592,r_9daeb79b,T3_add,success,,19,200,on
2025-12-01T09:54:42.675415487Z,ceb592,r_34ebd25a,T3_add,success,,19,200,on
2025-12-01T09:54:48.916525475Z,ceb592,r_aecef2d6,T3_add,success,,20,200,on
2025-12-01T09:54:54.954228204Z,ceb592,r_5b7ed3ae,T0_list,success,,21,200,off
2025-12-01T09:55:08.455117075Z,ceb592,r_698bf0d7,T0_list,success,,19,200,off
